origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Kilometer_per_liter
1,8,307.0,130,3504,12.0,1970,chevrolet chevelle malibu,7.652586733744896
1,8,350.0,165,3693,11.5,1970,buick skylark 320,6.37715561145408
1,8,318.0,150,3436,11.0,1970,plymouth satellite,7.652586733744896
1,8,304.0,150,3433,12.0,1970,amc rebel sst,6.802299318884352
1,8,302.0,140,3449,10.5,1970,ford torino,7.227443026314624
1,8,429.0,198,4341,10.0,1970,ford galaxie 500,6.37715561145408
1,8,454.0,220,4354,9.0,1970,chevrolet impala,5.952011904023808
1,8,440.0,215,4312,8.5,1970,plymouth fury iii,5.952011904023808
1,8,455.0,225,4425,10.0,1970,pontiac catalina,5.952011904023808
1,8,390.0,190,3850,8.5,1970,amc ambassador dpl,6.37715561145408
1,8,383.0,170,3563,10.0,1970,dodge challenger se,6.37715561145408
1,8,340.0,160,3609,8.0,1970,plymouth 'cuda 340,5.952011904023808
1,8,400.0,150,3761,9.5,1970,chevrolet monte carlo,6.37715561145408
1,8,455.0,225,3086,10.0,1970,buick estate wagon (sw),5.952011904023808
3,4,113.0,95,2372,15.0,1970,toyota corona mark ii,10.203448978326529
1,6,198.0,95,2833,15.5,1970,plymouth duster,9.353161563465985
1,6,199.0,97,2774,15.5,1970,amc hornet,7.652586733744896
1,6,200.0,85,2587,16.0,1970,ford maverick,8.928017856035712
3,4,97.0,88,2130,14.5,1970,datsun pl510,11.478880100617344
2,4,97.0,46,1835,20.5,1970,volkswagen 1131 deluxe sedan,11.053736393187073
2,4,110.0,87,2672,17.5,1970,peugeot 504,10.6285926857568
2,4,107.0,90,2430,14.5,1970,audi 100 ls,10.203448978326529
2,4,104.0,95,2375,17.5,1970,saab 99e,10.6285926857568
2,4,121.0,113,2234,12.5,1970,bmw 2002,11.053736393187073
1,6,199.0,90,2648,15.0,1970,amc gremlin,8.928017856035712
1,8,360.0,215,4615,14.0,1970,ford f250,4.2514370743027206
1,8,307.0,200,4376,15.0,1970,chevy c20,4.2514370743027206
1,8,318.0,210,4382,13.5,1970,dodge d200,4.6765807817329925
1,8,304.0,193,4732,18.5,1970,hi 1200d,3.826293366872448
3,4,97.0,88,2130,14.5,1971,datsun pl510,11.478880100617344
1,4,140.0,90,2264,15.5,1971,chevrolet vega 2300,11.904023808047617
3,4,113.0,95,2228,14.0,1971,toyota corona,10.6285926857568
1,4,98.0,?,2046,19.0,1971,ford pinto,10.6285926857568
1,6,232.0,100,2634,13.0,1971,amc gremlin,8.077730441175168
1,6,225.0,105,3439,15.5,1971,plymouth satellite custom,6.802299318884352
1,6,250.0,100,3329,15.5,1971,chevrolet chevelle malibu,7.227443026314624
1,6,250.0,88,3302,15.5,1971,ford torino 500,8.077730441175168
1,6,232.0,100,3288,15.5,1971,amc matador,7.652586733744896
1,8,350.0,165,4209,12.0,1971,chevrolet impala,5.952011904023808
1,8,400.0,175,4464,11.5,1971,pontiac catalina brougham,5.952011904023808
1,8,351.0,153,4154,13.5,1971,ford galaxie 500,5.952011904023808
1,8,318.0,150,4096,13.0,1971,plymouth fury iii,5.952011904023808
1,8,383.0,180,4955,11.5,1971,dodge monaco (sw),5.1017244891632645
1,8,400.0,170,4746,12.0,1971,ford country squire (sw),5.5268681965935365
1,8,400.0,175,5140,12.0,1971,pontiac safari (sw),5.5268681965935365
1,6,258.0,110,2962,13.5,1971,amc hornet sportabout (sw),7.652586733744896
1,4,140.0,72,2408,19.0,1971,chevrolet vega (sw),9.353161563465985
1,6,250.0,100,3282,15.0,1971,pontiac firebird,8.077730441175168
1,6,250.0,88,3139,14.5,1971,ford mustang,7.652586733744896
1,4,122.0,86,2220,14.0,1971,mercury capri 2000,9.778305270896256
2,4,116.0,90,2123,14.0,1971,opel 1900,11.904023808047617
2,4,79.0,70,2074,19.5,1971,peugeot 304,12.75431122290816
2,4,88.0,76,2065,14.5,1971,fiat 124b,12.75431122290816
3,4,71.0,65,1773,19.0,1971,toyota corolla 1200,13.179454930338432
3,4,72.0,69,1613,18.0,1971,datsun 1200,14.880029760059521
2,4,97.0,60,1834,19.0,1971,volkswagen model 111,11.478880100617344
